PLOTID,LAT,LON
0,50.87232147039037,31.051314546991012
1,45.60245735015353,35.4121083742108
2,52.33500749110565,33.44176858841236
3,51.34338068394159,33.683071066619696
4,46.67506172320123,33.81282736420644
5,50.15409074678647,24.972478628127785
6,48.4969151305188,31.143413390787853
7,47.29488416625741,30.32670531622295
8,47.216727886667336,36.152070391497745
9,49.38868290499586,30.687651295409726
10,50.79336744540068,31.012520971982717
11,50.99522668904691,27.062443964272862
12,51.20305967669541,29.134976333419665
13,48.54676694826782,28.792233749814294
14,52.40526992626258,33.40075968082276
15,51.15389531596596,33.5569998423639
16,48.635898601076974,26.796718705034593
17,48.14020875560673,28.664330422023564
18,45.67927266752065,28.581535472730817
19,46.15438725120109,28.88262616096473
20,50.76165528416134,26.973767537594963
21,47.17559174677489,35.33982487655878
22,48.07104386093113,33.574584140337905
23,46.20909926651138,34.48748804571381
24,46.50776744747526,31.148920606860628
25,49.39082470816359,32.682408898905315
26,46.0462517758703,32.843236382954615
27,51.86653996109758,26.41685887440183
28,49.90834646287609,27.77280816888705
29,47.70984644902257,31.415423167144958
30,49.86410370854187,25.174751994112178
31,47.705360043442425,34.058031763519715
32,50.13765258005127,34.64495717617604
33,44.31389117345159,34.49729882964299
34,50.70379804036765,31.08041717038657
35,48.90602891383309,23.762951617935272
36,49.957468650984346,22.988352100216634
37,49.16216888475999,23.564751862090304
38,44.87385887319911,33.68784458610544
39,49.75337197680225,34.63210176267715
40,48.16632806292134,38.924172432981266
41,50.77778495271615,24.248101798322576
42,48.6980172359303,23.485856109339164
43,47.126375911578755,38.24205756005921
44,46.59738168051144,32.55525876491707
45,44.62739383706946,35.1709145651001
46,51.27361904667967,24.65544424457839
47,47.27224557817973,33.03609639529663
48,50.74911420245713,26.348458555308646
49,51.12124998123347,35.38402359726246
50,49.484825960240656,38.8856213452099
51,46.927116326835765,37.146727705084636
52,49.521496089891976,37.93015485158776
53,50.27115233219981,35.502263191022124
54,47.76950751383686,35.8740219070327
55,48.8076520548329,27.192026096383014
56,48.65139917864235,37.4890697794994
57,45.66799148619516,33.14131783043743
58,49.10472464432019,27.07031123089286
59,49.06611371609053,34.90716023863187
60,45.202514837423024,28.67303634156395
61,51.167861864253915,25.782714892274033
62,50.45243271079261,29.42158181083504
63,46.260097550279134,35.50930925895836
64,47.30292892250231,31.603678171067997
65,46.17903390719893,32.76759317267595
66,46.81562126042166,31.182719240888986
67,51.3468988013103,26.44388610475961
68,47.015250244886,30.598259104144564
69,49.61781274328356,27.136161936605106
70,46.59426296593388,30.562207314339734
71,50.24161751230038,35.00940824800019
72,48.97846200266682,37.84719306808927
73,49.474504631426996,37.28466334783686
74,45.86980726543488,28.868369131955248
75,51.13422241080419,24.46631496789265
76,50.16764186099946,31.3552067208265
77,50.21354926909944,36.663951551453906
78,45.28664999618905,30.042980987137856
79,47.60725685437474,31.414865721354108
80,49.926573960299955,38.597857597414716
81,48.35983436455435,25.15788650169827
82,48.144897385520636,37.554451511172836
83,49.94951887188714,24.449177124244777
84,44.2773759159698,33.55630184205056
85,47.52146369816108,35.971364190385685
86,46.642525867765784,36.0310044835139
87,47.72518537878923,30.272520076852203
88,49.970840439327226,38.11336281161993
89,49.46841604490779,38.39279639265933
90,48.922739149025254,31.724549321739648
